00:4e:35:cf:67:20,00:4e:35:cf:67:23,00:4e:35:cf:67:24,00:4e:35:dc:50:a0,00:4e:35:dc:50:a1,00:4e:35:dc:50:a2,00:4e:35:dc:65:e0,00:4e:35:dc:65:e2,00:4e:35:dc:65:e3,00:4e:35:dc:6c:20,00:4e:35:dc:6c:23,00:4e:35:dc:6c:24,00:4e:35:dc:9b:a0,00:4e:35:dc:9b:a3,00:4e:35:dc:9b:a4,00:4e:35:dd:06:e0,00:4e:35:dd:06:e2,00:4e:35:dd:06:e3,00:4e:35:dd:0b:20,00:4e:35:dd:0b:22,00:4e:35:dd:0b:23,00:4e:35:dd:2b:60,00:4e:35:dd:2b:63,00:4e:35:dd:2b:64,00:4e:35:dd:65:e0,00:4e:35:dd:65:e3,00:4e:35:dd:65:e4,34:64:a9:63:bc:43,ae:50:de:f7:50:1b,b8:3a:5a:b1:2d:60,b8:3a:5a:b1:2d:63,b8:3a:5a:b1:2d:64,b8:3a:5a:b1:45:80,b8:3a:5a:b1:45:83,b8:3a:5a:b1:45:84,b8:3a:5a:b2:2e:c0,b8:3a:5a:b2:2e:c3,b8:3a:5a:b2:2e:c4,b8:3a:5a:b2:6e:60,b8:3a:5a:b2:6e:63,b8:3a:5a:b2:6e:64,b8:3a:5a:b2:99:80,b8:3a:5a:b2:99:83,b8:3a:5a:b2:99:84,b8:3a:5a:b2:9c:e0,b8:3a:5a:b2:9c:e3,b8:3a:5a:b2:9c:e4,d0:d3:e0:97:a8:40,d0:d3:e0:97:a8:41,d0:d3:e0:97:a8:42,d0:d3:e0:97:a8:44,d0:d3:e0:97:bb:40,d0:d3:e0:97:bb:41,d0:d3:e0:97:bb:44,d0:d3:e0:97:c2:60,d0:d3:e0:97:c2:61,d0:d3:e0:97:c2:63,d0:d3:e0:97:c4:c0,d0:d3:e0:97:c4:c1,d0:d3:e0:97:c4:c3,d0:d3:e0:97:e9:60,d0:d3:e0:97:e9:61,d0:d3:e0:97:e9:62,d0:d3:e0:97:f5:c0,d0:d3:e0:97:f5:c3,d0:d3:e0:97:f5:c4,d0:d3:e0:98:08:80,d0:d3:e0:98:08:81,d0:d3:e0:98:08:82,e4:8d:8c:36:28:53,RP
-71.0,-72.0,-78.0,-74.0,-85.0,-83.0,-90.0,-89.0,-89.0,-85.0,-100.0,-87.0,-89.0,-78.0,-78.0,-83.0,-84.0,-84.0,-86.0,-85.0,-87.0,-93.0,-87.0,-87.0,-72.0,-61.0,-74.0,-63.0,-71.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-81.0,-78.0,-72.0,-71.0,-72.0,-72.0,-73.0,-73.0,-85.0,-85.0,-86.0,-70.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-72.0,-76.0,-80.0,-74.0,-68.0,-71.0,-69.0,-77.0,-78.0,-77.0,-73.0,-74.0,-74.0,-56.0,RP4
-80.0,-72.0,-78.0,-74.0,-79.0,-85.0,-90.0,-89.0,-89.0,-85.0,-100.0,-87.0,-89.0,-78.0,-78.0,-83.0,-84.0,-84.0,-86.0,-85.0,-87.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-63.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-81.0,-78.0,-72.0,-71.0,-72.0,-72.0,-73.0,-73.0,-85.0,-85.0,-86.0,-70.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-68.0,-82.0,-80.0,-74.0,-68.0,-70.0,-69.0,-77.0,-78.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP4
-80.0,-72.0,-78.0,-76.0,-79.0,-85.0,-90.0,-89.0,-89.0,-85.0,-100.0,-87.0,-89.0,-78.0,-78.0,-85.0,-91.0,-87.0,-86.0,-85.0,-87.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-63.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-78.0,-78.0,-72.0,-71.0,-72.0,-72.0,-73.0,-73.0,-85.0,-85.0,-86.0,-70.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-68.0,-82.0,-80.0,-74.0,-68.0,-70.0,-69.0,-77.0,-78.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP4
-80.0,-72.0,-80.0,-76.0,-79.0,-85.0,-90.0,-89.0,-89.0,-85.0,-100.0,-100.0,-89.0,-78.0,-78.0,-85.0,-91.0,-87.0,-87.0,-85.0,-81.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-63.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-78.0,-78.0,-72.0,-71.0,-72.0,-72.0,-73.0,-73.0,-85.0,-85.0,-86.0,-70.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-68.0,-82.0,-80.0,-74.0,-68.0,-70.0,-69.0,-77.0,-78.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP4
-80.0,-72.0,-80.0,-76.0,-79.0,-80.0,-90.0,-89.0,-89.0,-86.0,-100.0,-100.0,-89.0,-78.0,-78.0,-85.0,-91.0,-87.0,-87.0,-87.0,-81.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-63.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-78.0,-78.0,-72.0,-71.0,-72.0,-72.0,-73.0,-73.0,-85.0,-85.0,-86.0,-70.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-68.0,-82.0,-76.0,-74.0,-68.0,-70.0,-69.0,-77.0,-78.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP4
-80.0,-77.0,-80.0,-76.0,-79.0,-80.0,-90.0,-89.0,-89.0,-86.0,-100.0,-100.0,-89.0,-78.0,-78.0,-85.0,-91.0,-87.0,-87.0,-87.0,-81.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-63.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-77.0,-77.0,-71.0,-70.0,-73.0,-71.0,-73.0,-73.0,-85.0,-85.0,-86.0,-72.0,-73.0,-75.0,-70.0,-74.0,-76.0,-77.0,-68.0,-69.0,-68.0,-82.0,-76.0,-74.0,-68.0,-70.0,-69.0,-77.0,-78.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP5
-80.0,-77.0,-80.0,-79.0,-79.0,-80.0,-90.0,-89.0,-89.0,-88.0,-100.0,-100.0,-89.0,-78.0,-80.0,-85.0,-91.0,-87.0,-87.0,-87.0,-81.0,-93.0,-87.0,-86.0,-72.0,-61.0,-74.0,-60.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-77.0,-77.0,-72.0,-72.0,-75.0,-70.0,-73.0,-73.0,-85.0,-82.0,-85.0,-72.0,-72.0,-75.0,-70.0,-80.0,-76.0,-72.0,-67.0,-69.0,-68.0,-82.0,-76.0,-76.0,-68.0,-70.0,-70.0,-82.0,-77.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP5
-80.0,-77.0,-80.0,-79.0,-80.0,-80.0,-90.0,-89.0,-89.0,-87.0,-100.0,-100.0,-78.0,-78.0,-80.0,-85.0,-87.0,-87.0,-80.0,-87.0,-81.0,-93.0,-87.0,-86.0,-62.0,-61.0,-74.0,-59.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-77.0,-77.0,-72.0,-72.0,-75.0,-70.0,-73.0,-73.0,-85.0,-82.0,-85.0,-72.0,-72.0,-75.0,-70.0,-80.0,-76.0,-72.0,-69.0,-69.0,-68.0,-82.0,-76.0,-76.0,-68.0,-70.0,-70.0,-82.0,-77.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP5
-80.0,-77.0,-80.0,-79.0,-80.0,-80.0,-90.0,-89.0,-89.0,-87.0,-100.0,-100.0,-78.0,-80.0,-80.0,-85.0,-87.0,-87.0,-79.0,-84.0,-81.0,-87.0,-88.0,-86.0,-62.0,-61.0,-61.0,-59.0,-69.0,-69.0,-64.0,-69.0,-66.0,-64.0,-64.0,-77.0,-77.0,-77.0,-72.0,-72.0,-75.0,-70.0,-73.0,-73.0,-82.0,-82.0,-85.0,-72.0,-72.0,-75.0,-70.0,-80.0,-76.0,-72.0,-69.0,-69.0,-68.0,-82.0,-76.0,-76.0,-68.0,-70.0,-70.0,-82.0,-77.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP5
-80.0,-77.0,-80.0,-80.0,-80.0,-80.0,-90.0,-88.0,-89.0,-87.0,-100.0,-100.0,-78.0,-80.0,-78.0,-85.0,-87.0,-87.0,-79.0,-84.0,-81.0,-87.0,-84.0,-88.0,-63.0,-64.0,-61.0,-59.0,-69.0,-69.0,-62.0,-69.0,-66.0,-64.0,-64.0,-77.0,-77.0,-77.0,-72.0,-72.0,-75.0,-70.0,-73.0,-73.0,-82.0,-79.0,-85.0,-72.0,-72.0,-75.0,-70.0,-80.0,-76.0,-72.0,-69.0,-69.0,-68.0,-82.0,-82.0,-76.0,-68.0,-70.0,-70.0,-82.0,-77.0,-77.0,-71.0,-73.0,-75.0,-58.0,RP5
